City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vestmannaeyjar,63.4427,-20.2734,40.05,86,98,9.15,IS,1619818266
Kapoeta,4.7717,33.5903,72.54,82,86,4.68,SS,1619818528
Tigil',57.8,158.6667,35.91,84,100,5.5,RU,1619818528
Mahébourg,-20.4081,57.7,77.0,83,40,11.5,MU,1619818145
Busselton,-33.65,115.3333,52.0,98,99,1.01,AU,1619818133
Vaini,-21.2,-175.2,77.0,88,75,11.5,TO,1619818127
Bredasdorp,-34.5322,20.0403,44.6,81,0,0.56,ZA,1619818184
Upernavik,72.7868,-56.1549,33.66,79,100,6.51,GL,1619818141
Hong Kong,22.2855,114.1577,75.99,89,99,2.08,HK,1619817979
Hermanus,-34.4187,19.2345,55.0,76,0,1.01,ZA,1619818156
Hithadhoo,-0.6,73.0833,84.0,73,85,8.03,MV,1619817880
Rikitea,-23.1203,-134.9692,78.91,77,84,19.98,PF,1619818130
Lebu,-37.6167,-73.65,56.59,88,100,20.94,CL,1619818183
Tegul'det,57.3064,88.1667,36.5,92,3,6.98,RU,1619818532
Guerrero Negro,27.9769,-114.0611,85.48,25,0,14.45,MX,1619818163
Esperance,-33.8667,121.9,51.8,93,90,5.75,AU,1619818161
Kapaa,22.0752,-159.319,78.8,65,20,14.97,US,1619818139
Padang,-0.9492,100.3543,78.15,85,100,3.24,ID,1619818270
Punta Arenas,-53.15,-70.9167,42.8,93,90,6.91,CL,1619818134
Katsuura,35.1333,140.3,62.01,88,20,10.36,JP,1619818149
Departamento de Maldonado,-34.6667,-54.9167,66.2,77,0,5.75,UY,1619818128
Tarata,-17.6167,-66.0167,78.8,15,20,3.44,BO,1619818534
Severo-Kuril'sk,50.6789,156.125,35.19,94,100,22.77,RU,1619818278
Omsukchan,62.5333,155.8,27.43,84,99,4.23,RU,1619818263
Walvis Bay,-22.9575,14.5053,59.0,76,0,5.75,NA,1619818181
Port Alfred,-33.5906,26.891,61.59,81,42,14.56,ZA,1619818163
Port Hedland,-20.3167,118.5667,69.8,83,3,5.75,AU,1619818440
Ushuaia,-54.8,-68.3,39.2,93,75,4.61,AR,1619817905
Xiaoweizhai,26.1903,107.5125,62.74,89,100,2.8,CN,1619818536
Salym,60.0625,71.4789,34.66,94,72,7.96,RU,1619818537
Laguna,38.421,-121.4238,88.0,24,1,5.75,US,1619818537
Lüderitz,-26.6481,15.1594,64.2,40,0,17.76,NA,1619818212
Gibsons,49.3997,-123.5027,59.0,82,92,2.3,CA,1619818538
Albany,42.6001,-73.9662,52.0,63,100,4.0,US,1619817875
Mae Hong Son,19.3003,97.9685,72.82,92,45,1.12,TH,1619818539
Yar-Sale,66.8333,70.8333,18.43,94,96,10.45,RU,1619818512
Te Anau,-45.4167,167.7167,40.48,91,100,0.89,NZ,1619818149
Nacala,-14.5428,40.6728,75.07,90,1,2.95,MZ,1619818385
Hervey Bay,-25.2986,152.8535,64.99,96,99,4.0,AU,1619818423
Saint-Philippe,-21.3585,55.7679,75.2,78,40,6.91,RE,1619818153
Herat Province,34.5,62.0,61.48,71,44,17.9,AF,1619818534
Puerto Ayora,-0.7393,-90.3518,84.2,61,20,14.97,EC,1619818129
Vestmanna,62.1564,-7.1664,35.6,93,40,3.44,FO,1619818290
Lagoa,39.05,-27.9833,58.87,67,100,6.35,PT,1619817914
Lábrea,-7.2586,-64.7981,74.93,92,88,0.49,BR,1619818542
New Norfolk,-42.7826,147.0587,48.0,81,61,3.09,AU,1619818150
Bagdarin,54.4333,113.6,26.8,79,32,2.28,RU,1619818543
Necochea,-38.5473,-58.7368,64.99,58,0,5.99,AR,1619818142
Codrington,-38.2667,141.9667,57.69,46,100,9.86,AU,1619817917
Halifax,44.6453,-63.5724,44.01,100,100,16.11,CA,1619818443
Masindi,1.6744,31.715,62.71,94,70,2.84,UG,1619818544
Butaritari,3.0707,172.7902,82.99,75,67,10.63,KI,1619818167
Spasskoye,44.6108,132.7969,45.27,73,29,8.12,RU,1619818545
Port Hardy,50.6996,-127.4199,53.6,82,75,9.22,CA,1619818546
Hilo,19.7297,-155.09,84.2,51,1,9.22,US,1619817952
Avarua,-21.2078,-159.775,80.6,78,75,4.61,CK,1619818169
Sühbaatar,50.2314,106.2078,40.21,51,100,3.91,MN,1619818547
Hamilton,39.1834,-84.5333,66.2,32,1,17.27,US,1619818188
East London,-33.0153,27.9116,62.46,75,85,14.36,ZA,1619817900
Dikson,73.5069,80.5464,4.21,96,83,9.82,RU,1619818138
La Ronge,55.1001,-105.2842,59.0,33,73,11.5,CA,1619818396
Pedernales,18.0384,-71.744,82.67,65,12,6.2,DO,1619818548
Arraial do Cabo,-22.9661,-42.0278,73.4,68,40,3.44,BR,1619818152
Pangody,65.85,74.4859,28.78,93,100,14.65,RU,1619818549
Carhuamayo,-10.9167,-76.0333,41.41,83,88,10.22,PE,1619818550
Cape Town,-33.9258,18.4232,57.99,77,0,9.22,ZA,1619818131
Puerto Quijarro,-17.7833,-57.7667,78.13,37,8,3.13,BO,1619818551
Kruisfontein,-34.0033,24.7314,54.0,76,0,6.91,ZA,1619817906
Mettur,11.8,77.8,80.96,77,11,3.67,IN,1619818551
Deloraine,-41.5333,146.6667,48.0,93,75,5.75,AU,1619818552
Hasaki,35.7333,140.8333,55.4,94,40,3.44,JP,1619818271
Diu,20.7141,70.9822,81.43,66,100,7.58,IN,1619818553
Dingle,10.9995,122.6711,75.56,76,100,4.9,PH,1619818183
Saint-Pierre,-21.3393,55.4781,75.2,78,8,6.91,RE,1619818231
Caravelas,-17.7125,-39.2481,72.81,85,87,13.44,BR,1619818124
Saint George,37.1041,-113.5841,93.0,11,1,3.44,US,1619818233
Tuktoyaktuk,69.4541,-133.0374,21.2,79,20,11.5,CA,1619818154
Carnarvon,-24.8667,113.6333,64.4,55,75,10.36,AU,1619818166
Bahía Blanca,-38.7196,-62.2724,66.97,47,3,13.8,AR,1619818555
Saint Paul Harbor,57.79,-152.4072,50.0,37,1,10.36,US,1619818147
Agartala,23.8364,91.275,78.49,87,17,7.31,IN,1619818556
Birao,10.2849,22.7882,90.43,28,71,7.87,CF,1619818556
Vanavara,60.34,102.2797,34.0,95,100,9.06,RU,1619818557
Kismayo,-0.3582,42.5454,81.81,79,45,11.54,SO,1619818558
Kholodnyy,62.7167,147.95,31.23,89,100,1.25,RU,1619818558
Saldanha,-33.0117,17.9442,55.4,67,0,9.22,ZA,1619818004
Dinguiraye,11.3,-10.7167,85.17,42,93,4.12,GN,1619818559
Mataura,-46.1927,168.8643,43.0,93,74,4.0,NZ,1619817844
Lola,7.8,-8.5333,73.29,89,88,2.98,GN,1619818559
Jamestown,42.097,-79.2353,43.0,56,90,27.63,US,1619817842
Newtonhill,57.0333,-2.15,37.99,93,40,3.44,GB,1619818561
Timrå,62.487,17.3257,37.99,74,14,5.75,SE,1619818561
Kavieng,-2.5744,150.7967,82.62,74,98,6.02,PG,1619818154
Al Bardīyah,31.7561,25.0865,77.27,31,39,10.8,LY,1619818562
High Level,58.5169,-117.136,59.0,36,75,14.97,CA,1619818465
Yellowknife,62.456,-114.3525,34.0,80,90,13.8,CA,1619818037
Atuona,-9.8,-139.0333,78.89,69,1,4.0,PF,1619818049
Cabo San Lucas,22.8909,-109.9124,89.6,34,1,13.8,MX,1619818187
Nioro,13.35,-15.75,86.49,28,6,13.4,GM,1619818563
Tessalit,20.1986,1.0114,84.16,28,98,29.44,ML,1619818259
Ribeira Grande,38.5167,-28.7,60.8,77,75,8.05,PT,1619818129
Faya,18.3851,42.4509,62.6,82,20,4.65,SA,1619818565
Shubarkuduk,49.1447,56.4872,48.27,50,6,8.66,KZ,1619818279
Birin,26.8865,88.0718,60.98,50,59,4.43,NP,1619818566
Arrondissement de Pontivy,48.0,-3.0,48.0,71,0,9.22,FR,1619818566
Lavrentiya,65.5833,-171.0,24.84,71,45,3.2,RU,1619818292
At-Bashi,41.1702,75.8106,50.09,71,86,2.39,KG,1619818567
Tuatapere,-46.1333,167.6833,43.0,93,100,4.0,NZ,1619818164
Ilulissat,69.2167,-51.1,39.2,52,1,2.3,GL,1619818165
Paamiut,61.994,-49.6678,37.26,84,5,5.75,GL,1619818568
Brynmawr,51.8,-3.1833,44.01,82,99,4.56,GB,1619818568
Geraldton,-28.7667,114.6,51.8,66,69,6.91,AU,1619818143
Lamont,35.2597,-118.9143,89.6,19,1,10.36,US,1619818569
Homer,59.6425,-151.5483,46.4,39,40,6.91,US,1619818515
Castro,-24.7911,-50.0119,57.58,74,32,7.2,BR,1619817889
Sisophon,13.5859,102.9737,77.05,87,100,3.33,KH,1619818571
Souillac,-20.5167,57.5167,77.0,83,40,11.5,MU,1619817890
College,64.8569,-147.8028,36.0,55,75,13.8,US,1619818340
Beaupré,47.0443,-70.8953,46.4,81,100,14.97,CA,1619818572
Kinsale,51.7075,-8.5306,42.8,81,75,4.61,IE,1619818572
Ponta Delgada,37.7333,-25.6667,57.2,67,40,4.61,PT,1619818280
Rome,43.2128,-75.4557,46.4,66,90,20.71,US,1619818323
Broken Hill,-31.95,141.4333,57.2,54,100,10.36,AU,1619818137
San Quintín,30.4833,-115.95,75.43,46,0,13.65,MX,1619817962
Klyuchi,52.2667,79.1667,46.65,47,100,7.31,RU,1619818574
Asău,46.4333,26.4,57.0,50,100,4.47,RO,1619817974
Ponta do Sol,32.6667,-17.1,57.99,58,87,4.0,PT,1619818201
Isangel,-19.55,169.2667,78.8,78,75,5.75,VU,1619818178
Kwang Binh,17.4833,106.6,74.52,90,39,1.61,VN,1619818451
Nikolskoye,59.7035,30.7861,35.6,75,0,8.95,RU,1619818168
Bethel,41.3712,-73.414,61.0,38,14,11.01,US,1619818198
Takoradze,4.8845,-1.7554,82.04,78,78,6.46,GH,1619818578
Siderno,38.2779,16.302,64.0,100,75,11.5,IT,1619818578
Mackenzie,55.2999,-123.1698,46.4,76,90,4.61,CA,1619818579
